Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
MAGIC,64%,"5,000+ Ratings",86%,MAGIC,Horror,English,Richard Attenborough,"Joseph E. Levine, Richard P. Levine",William Goldman,,"Sep 6, 2011",,1h 46m,,"Corky (Anthony Hopkins), a failed magician, adopts a new ventriloquist act with an abrasive dummy named Fats, and suddenly finds himself lined up for a television show. When the unbalanced Corky fears he won't pass the required mental exam, he runs away with Fats to his hometown, where he meets an old love from high school, Peggy (Ann-Margret). Corky persuades Peggy to leave her loveless marriage -- but Fats, who seems to be taking on a mind of his own, doesn't approve of the relationship."
A CHRISTMAS CAROL,--,Fewer than 50 Ratings,--,A CHRISTMAS CAROL,"Drama, Fantasy",,"J. Searle Dawley, Charles Kent, Ashley Miller",,,,"Apr 17, 2020",,11m,,Ebenezer Scrooge is visited by spirits.
LETTERS FROM THE BOTTLE,--,0 Ratings,--,LETTERS FROM THE BOTTLE,"Drama, Mystery & Thriller",English,Gregory Galloway,,,,,,,,An accomplished writer finds his way back to his work after experiencing a tragedy.
THE GREAT AND TERRIBLE DAY OF THE LORD,--,0 Ratings,--,THE GREAT AND TERRIBLE DAY OF THE LORD,Horror,English,"Jared Jay Mason, Clark Runciman",,Jared Jay Mason,,,,1h 21m,,"On their first getaway as a couple, a woman's boyfriend becomes a conduit for God and warns her that she will die and go to hell unless she repents and worships him."
THE SUPER BOB EINSTEIN MOVIE,86%,Fewer than 50 Ratings,--,THE SUPER BOB EINSTEIN MOVIE,"Documentary, Biography",English,Danny Gold,"Danny Gold, George Shapiro, Aimee Hyatt","Danny Gold, Michael Mayhew, Danny Gold, Michael Mayhew",,"Dec 28, 2021",,1h 30m,,"Actor, writer and producer Bob Einstein becomes famous for his iconic alter ego Super Dave Osborne, working with the Smothers Brothers, and playing Marty Funkhouser on the hit TV series ""Curb Your Enthusiasm."""
THE GARDENER,--,0 Ratings,--,THE GARDENER,"Action, Crime, Drama",English,"Scott Jeffrey, Rebecca Matthews, Michael Hoad","Scott Jeffrey, Rebecca Matthews","Ben Demaree, Jeff Miller",,,,1h 29m,,An ex-soldier living a quiet life as a gardener at an English manor house must rely on old skills to save the family he works for from ruthless home invaders.
SIC,--,0 Ratings,--,SIC,Drama,Japanese,Eric Baudelaire,"Claudia Guevera, Derek McLeod",,,,,15m,,An employee at a Japanese bookstore uses a scalpel and a brush to censor images in photography books that may be considered offensive or obscene.
THE KINDRED,18%,Fewer than 50 Ratings,69%,THE KINDRED,"Horror, Mystery & Thriller",English (United Kingdom),Jamie Patterson,"Stephen Jarvis, Tracy Jarvis",Christian J. Hearn,"Jan 7, 2022  Limited","Jan 7, 2022",,1h 34m,Vertical Entertainment,"After her father's suicide, a young mother investigates what led to his death. But when she is haunted by spirits and unearths an unsolved mystery from 30 years ago, she discovers a dark family history that could prove deadly for her child."
WHO IS AMOS OTIS?,100%,Fewer than 50 Ratings,--,WHO IS AMOS OTIS?,"Drama, Mystery & Thriller",English,Greg Newberry,"Greg Newberry, Jeff Kraemer",Greg Newberry,,"Dec 28, 2021",,1h 45m,,"After assassinating the President, Amos Otis pleads self-defense and must convince the jury that America was not only under attack by its unhinged ruler -- but that his actions saved the country and the world. The assassin's provocative testimony and ingenious defense turns the proceedings upside down and puts our country on trial. He confronts our political climate head-on while daring the jury to side with a murderer on a suicide mission to save them. No one can tell if he's a mad man, con man or savior of the world. Not even his attorney. This searing, mind-bending political thriller is in the spirit of The Twilight Zone and based on a Pulitzer Prize-nominated play. As one reviewer noted, ""If you are wondering how fiction could read like our current reality, this is the story for you."""
THE SEANCE,--,Fewer than 50 Ratings,--,THE SEANCE,"Horror, Mystery & Thriller",English,Christopher James Cramer,"Christopher James Cramer, Julius Sean",R.J. Buckley,,"Dec 28, 2021",,1h 22m,,"A paranormal debunker attends a seance to expose a medium's charlatan ways. As the evening progresses, she discovers the occupants of the haunted house will do whatever it takes to avoid the limelight."
FLOWER BOY,--,0 Ratings,--,FLOWER BOY,Drama,English (United Kingdom),Aidey Pugh,,Aidey Pugh,,"Mar 22, 2021",,1h 46m,,"Bullied by a vicious girl gang, a schoolboy seeks refuge working at a flower shop. However, a theft during a house party sets in motion a chain of events that spiral out of control and change the lives of the bullies and their victim forever."
DEATH TO 2021,32%,100+ Ratings,--,DEATH TO 2021,Comedy,English,Josh Ruben,Nick Vaughan-Smith,Jack Clough,,"Dec 27, 2021",,,,This darkly comedic retrospective mixes real news footage and scripted talking-head interviews as it sends up the year that tried to one-up 2020.
JEKYLL & HYDE,50%,250+ Ratings,--,JEKYLL & HYDE,Horror,English,David Wickes,Gerald W. Abrams,,,"Mar 1, 2016",,1h 37m,,"A Victorian London doctor (Michael Caine) messes with nature, drinks a potion and frees his bad side."
THE REMNANT,--,Fewer than 50 Ratings,--,THE REMNANT,"Horror, Sci-Fi, Mystery & Thriller",English,Rick Jordan,,,,,,1h 47m,,Murder holds a small Georgia town in the grip of fear during the first summer of the new millennium.
VENUS,74%,"10,000+ Ratings",88%,VENUS,"Drama, Romance",English,Roger Michell,Kevin Loader,Hanif Kureishi,"Dec 21, 2006  Limited","May 22, 2007",$3.3M,1h 35m,Miramax Films,"Maurice (Peter O'Toole) and Ian (Leslie Phillips) are veteran British actors who share a friendship and comfortable routines into their 70s. The arrival of Ian's grand-niece, Jessie (Jodie Whittaker), shakes things up for the two old friends. Ian has no patience with the young woman, but Maurice finds her enchanting. He wants to show Jessie the sights and teach her about life, then realizes how little he actually knows."
EVERYTHING MUST GO,52%,"10,000+ Ratings",73%,EVERYTHING MUST GO,"Comedy, Drama",English,Dan Rush,"Marty Bowen, Wyck Godfrey",Dan Rush,"May 13, 2011  Limited","Sep 6, 2011",$2.7M,1h 37m,Roadside Attractions,"Longtime salesman Nick Halsey (Will Ferrell) has seen better days. No longer at the top of his game, Nick, an alcoholic, loses his job for showing up drunk one too many times. On the same day, he finds that his wife has dumped him -- and his possessions -- on the front lawn of their home. Facing the fact that his life is collapsing around him, Nick holds a giant yard sale that turns into a unique survival strategy. Based on a short story by Raymond Carver."
INSECURE: THE END,83%,Fewer than 50 Ratings,--,INSECURE: THE END,Documentary,English,James Bland,"James Bland, Deniese Davis",,,"Dec 27, 2021",,,,"An intimate look at the making of the final season and the cultural impact of ""Insecure."""
LULLI,24%,Fewer than 50 Ratings,--,LULLI,"Comedy, Romance, Sci-Fi",Portuguese (Brazil),César Rodrigues,,"Thalita Rebouças, Thalita Rebouças, Renato Fagundes",,"Dec 26, 2021",,2h 0m,,"Lulli is an ambitious young medical student who dreams of being the best surgeon in the world, leaving nothing and no one to get in her way -- not even her recent ex-boyfriend. But her world turns upside down when she is electrocuted by a magnetic resonance imaging device, and she begins -- ironically -- to hear the thoughts of others. Now the girl who until then was unable to hear the people around her will need to learn about the wonders and dangers of knowing what others are thinking."
THE TEST,--,0 Ratings,--,THE TEST,Drama,,D.W. Griffith,,D.W. Griffith,,,,6m,,"Harry, preparing to leave on a business trip, tells Bessie that her photograph will always be with him. To test his sincerity, she removes the photo from his bill case."
EL PASEO 6,--,0 Ratings,--,EL PASEO 6,Comedy,Spanish,Rodrigo Triana,Dago García,Dago García,,,,1h 38m,,"Unwilling to let his daughter attend a high-school trip unsupervised, a man and his mother-in-law show up to crash the party."
CIRCLE,--,0 Ratings,--,CIRCLE,"Comedy, Action",English,Bekir Kulozu,"Sibyl Santiago, Jessica Spinelli, Gwen Tiernan, Ahmet Atalay",Bekir Ognat,,"Jul 22, 2021",,1h 33m,,A father's fear for his daughter's life puts him in the middle of interconnected crime organizations and a series of bizarre events centered around a poker game.
ALL MADDEN,--,Fewer than 50 Ratings,--,ALL MADDEN,"Biography, Documentary",English,Joel Santos,Richard Zyontz,,,"Dec 25, 2021",,1h 14m,,A tribute to John Madden's groundbreaking career - centered largely on the time after his Hall of Fame coaching career ended.
HUWAG KANG LALABAS,--,0 Ratings,--,HUWAG KANG LALABAS,Horror,English,Adolfo Alix Jr.,Enrico A. Roque,Jerry Gracio,,,,2h 8m,,"Three stories of haunting secrets, folklore and urban legends set in different periods of Philippine history."
LOVE AT FIRST STREAM,--,0 Ratings,--,LOVE AT FIRST STREAM,"Romance, Comedy",Filipino,Cathy Garcia-Molina,Kriz G. Gazmen,Cathy Garcia-Molina,,"Sep 1, 2022",,1h 50m,,"A streamer, a student, a breadwinner, and a heartthrob explore love and friendships online to escape their realities offline."
THE EMIGRANTS,87%,500+ Ratings,93%,THE EMIGRANTS,Drama,Swedish,Jan Troell,Bengt Forslund,"Bengt Forslund, Jan Troell","Sep 24, 1972  Original","Feb 9, 2016",,2h 28m,Warner Bros.,"Karl Oskar Nilsson (Max von Sydow) and his wife, Kristina (Liv Ullmann), work a farm in a cold and desolate area of rural Sweden in the middle of the 19th century. The growing privations of their life, combined with increasing social and religious persecution, cause the Nilssons and many of their neighbors to strike out for the United States. Following a treacherous ocean crossing and an equally grueling land passage, the emigrants find themselves in the seemingly idyllic land of Minnesota."
AMERICAN UNDERDOG,98%,"2,500+ Verified Ratings",75%,AMERICAN UNDERDOG,"Biography, Drama",English,"Andrew Erwin, Jon Erwin","Jon Erwin, Andrew Erwin, Daryl C. Lefever, Mark Ciardi, Kevin Downes","David Aaron Cohen, Jon Erwin, Jon Gunn","Dec 25, 2021  Wide","May 20, 2022",$26.5M,1h 52m,Lionsgate,"American Underdog tells the inspirational true story of Kurt Warner (Zachary Levi), who went from a stockboy at a grocery store to a two-time NFL MVP, Super Bowl champion, and Hall of Fame quarterback. The film centers on Warner's unique story and years of challenges and setbacks that could have derailed his aspirations to become an NFL player -- but just when his dreams seemed all but out of reach, it is only with the support of his wife, Brenda (Anna Paquin) and the encouragement of his family, coaches, and teammates that Warner perseveres and finds the strength to show the world the champion that he already is. American Underdog is an uplifting story that demonstrates that anything is possible when you have faith, family and determination."
A HARD DAY,78%,500+ Ratings,83%,A HARD DAY,"Mystery & Thriller, Action",Korean,Kim Seong-hun,,Kim Seong-hun,"Jul 17, 2015  Limited","Nov 24, 2015",,1h 50m,Kino Lorber,"A homicide detective (Lee Sun-gyun) accidentally kills a man with his car, then tries to hide the body in his mother's coffin on the day of her funeral."
BET ON BEN,--,0 Ratings,--,BET ON BEN,"Drama, Mystery & Thriller",English,Nick Felice,Nick Felice,Nick Felice,,,,1h 43m,,Ben Burke completes his prison term and comes back to an old flame to start things over but ends up putting both their lives in danger.
SATI,83%,100+ Ratings,--,SATI,Drama,Bangla,Aparna Sen,,,,,,2h 4m,,A mute (Shabana Azmi) with a horoscope foretelling young widowhood weds a tree in order to avoid the fate of burning alive on a husband's pyre.
THE HEIRLOOM,37%,500+ Ratings,--,THE HEIRLOOM,"Horror, Mystery & Thriller",Chinese,Leste Chen,Michelle Yeh,Dorian Li,,"Apr 29, 2014",,1h 36m,,"James Yang (Jason Chang) is a promising young Taiwanese architect living in the United Kingdom with his beautiful fiancée, Yo (Terri Kwan), when the death of a distant relative lures him back to his homeland to claim his inheritance: a massive but dilapidated mansion. With his friends in tow, Yang moves into the house, but in short order strange things to begin to happen. Little does Yang know that his presence is stirring up old ghosts born from dark family secrets."
RIDER,--,0 Ratings,--,RIDER,"Crime, Drama, Horror",English,Aaron Wasserteil,,Aaron Wasserteil,,,,9m,,"When a ride-share driver is matched with a woman out for a late-night self-discovery ride, night turns to day while they journey through Los Angeles."
CYCLES,--,0 Ratings,--,CYCLES,Drama,French (Canada),,,,,,,1h 32m,,A brother and sister face the traumas of middle age while their mother loses her battle with Alzheimer's.
2012: SUPERNOVA,9%,500+ Ratings,--,2012: SUPERNOVA,"Sci-Fi, Action",English,Anthony Fankhauser,David Michael Latt,"Anthony Fankhauser, Jon Macy",,"Sep 2, 2010",,1h 30m,,An astrophysicist hatches a plan to shield the Earth from dangerous radiation from outer space.
FOR HANNAH,--,Fewer than 50 Ratings,100%,FOR HANNAH,Drama,English,John Wesley Norton,"Suzette Brown, John Wesley Norton",John Wesley Norton,"Dec 25, 2021  Limited",,,1h 52m,Two 9 Productions,"It's Christmas Eve, 1987, in the small sleepy town of Pine Ridge. The local bank is burning to the ground and the local authorities are scrambling to solve the case. A desperate man on the run stumbles across a farmhouse in the middle of nowhere. When he encounters the husband and wife that live there, he quickly realizes that things are more complicated than it seems. Is he taking them hostage, is he the savior the wife has longed for, who is really the criminal? As things unravel and dark secrets are revealed one thing is for sure, the small town of Pine Ridge will never be the same."
BLOOD MONEY,--,0 Ratings,--,BLOOD MONEY,Mystery & Thriller,English,John Shepphird,"Brian Shuster, James Lifton",,,,,1h 37m,,Escaped prisoners force a man who testified against one of them to aid getaway plans.
JIMMY CARR: HIS DARK MATERIAL,50%,50+ Ratings,--,JIMMY CARR: HIS DARK MATERIAL,"Comedy, Stand-Up",English,,,Jimmy Carr,,"Dec 25, 2021",,59m,,"Jimmy Carr finds humor in the darkest of places in this stand-up special that features his dry, sardonic wit -- and some jokes he calls ""career enders."""
EVA,56%,250+ Ratings,62%,EVA,Drama,English,Joseph Losey,,Hugo Butler,,"Jun 11, 2007",$6.4K,1h 40m,,"Best-selling author Tyvian Jones (Stanley Baker) has a life of leisure in Venice, Italy, until he has a chance encounter with sultry Frenchwoman Eva Olivier (Jeanne Moreau). He falls for her instantly, despite already having wedding plans with Francesca Ferrara (Virna Lisi). Winning Eva's affection proves elusive; she's more interested in money than in love. But Tyvian remain steadfast in his obsession, going after Eva with a fervor that threatens to destroy his life."
HOT CHOCOLATE HOLIDAY,--,Fewer than 50 Ratings,--,HOT CHOCOLATE HOLIDAY,"Holiday, Romance",English,Brian Brough,"Brian Brough, Brittany Wiscombe",Brittany Wiscombe,,,,1h 35m,,A coffee shop owner finds herself in competition with the handsome owner of a dessert shop whose hot chocolate tastes just like her grandmother's secret recipe.
CHRISTMAS 4 SALE,--,0 Ratings,--,CHRISTMAS 4 SALE,"Holiday, Drama, Romance",English,,,,,"Dec 23, 2021",,1h 26m,,"A young real estate agent pretends to be a billionaire's yoga instructor on a holiday ski trip to gain a lucrative real estate listing, but she ends up falling in love with the eccentric and charming gentlemen."
SILA-SILA,--,0 Ratings,--,SILA-SILA,Drama,Tagalog,Giancarlo Abrahan,"Giancarlo Abrahan, Bianca Basilio, Chad Angelic Cabigon",Daniel Saniana,,"Dec 10, 2020",,1h 58m,,A guy whose romantic breakups tend to be messy and traumatic encounters his ex-boyfriend and finds that feelings that he thought were long gone are being rekindled.
YEARLY DEPARTED,57%,50+ Ratings,83%,YEARLY DEPARTED,"Comedy, Stand-Up",English,Linda Mendoza,,Bess Kalb,,"Dec 30, 2020",,,,"Goodbye and good riddance, 2020. Yearly Departed is a hilarious, absurd, life-affirming comedy special, where seven outspoken female comedians lay to rest the year that never seemed to end. Hosted by Phoebe Robinson (Two Dope Queens), with an all-star lineup including Tiffany Haddish, Sarah Silverman, Natasha Rothwell, Ziwe, Natasha Leggero, Patti Harrison, and Rachel Brosnahan as they bid farewell to 2020's biggest conceptual casualties, from TV Cops to Casual Sex, giving the year a cathartic sendoff."
BEANIE MANIA,76%,Fewer than 50 Ratings,100%,BEANIE MANIA,Documentary,English,Yemisi Brookes,,,,"Dec 23, 2021",,,,"Beanie Babies, the stuffed toys created by Ty Warner that inspired a collecting craze in the late 90s, are the subject of this eye‐opening, nostalgic, and endlessly‐entertaining documentary film. BEANIE MANIA is a layered and riveting look at how a children's toy spawned an unprecedented investment bubble and a frenzy of American greed. The documentary features illuminating interviews with passionate collectors, notable influencers and company insiders."
